USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
GA,13051010803,48677161,812426,18.794,0.314,32.0985535,-81.2474962
GA,13051010806,14973172,2215163,5.781,0.855,31.9797151,-81.2049085
GA,13051010807,34429569,2663562,13.293,1.028,31.9502245,-81.2453816
GA,13051010808,41612264,1953081,16.067,0.754,32.0002084,-81.2508155
GA,13051010809,21536851,280494,8.315,0.108,32.0475566,-81.2359222
GA,13051010901,15514521,4751420,5.99,1.835,31.9647592,-81.1780543
GA,13051011003,21696052,3368810,8.377,1.301,31.9535273,-81.1006949
GA,13051011004,19564854,4237922,7.554,1.636,31.9712927,-81.0570414
GA,13051011005,72956196,35731495,28.169,13.796,31.8872946,-81.0281552
GA,13051011006,31332074,7707578,12.097,2.976,31.9585135,-81.0222177
GA,13051011103,40388812,26292646,15.594,10.152,31.9751474,-80.9006411
GA,13051011104,6298809,582151,2.432,0.225,32.0196777,-80.9708363
GA,13051011106,11739619,2221468,4.533,0.858,32.0256084,-81.0116446
GA,13051011107,44606610,19268776,17.223,7.44,32.0490864,-80.9586871
GA,13051011108,18660742,4846741,7.205,1.871,31.991505,-80.946048
GA,13051011109,21109559,9722319,8.15,3.754,31.9732263,-80.9718043
GA,13051011200,676757,0,0.261,0,32.0701433,-81.0977753
GA,13051011300,633878,0,0.245,0,32.0622457,-81.0982166
GA,13051011400,807062,0,0.312,0,32.0561791,-81.1010266
GA,13051011500,160900968,80559651,62.124,31.104,31.830801,-81.1355054
GA,13051011600,3112634,8475,1.202,0.003,32.0902725,-81.1332105
GA,13051980000,12457983,3851986,4.81,1.487,32.1046897,-81.1234717
GA,13051990000,0,286344960,0,110.558,31.8630721,-80.9374575
GA,13053020100,154266684,2011027,59.563,0.776,32.2725435,-84.7487963
GA,13053020201,6447417,1987,2.489,0.001,32.3568457,-84.9702381
GA,13053020203,172164166,2875632,66.473,1.11,32.3197411,-84.8778702
GA,13053020205,7766159,120232,2.999,0.046,32.3618841,-84.9411607
GA,13053020206,303578249,1283826,117.212,0.496,32.4182804,-84.7509124
GA,13055010100,259546927,212903,100.212,0.082,34.4832685,-85.2300027
GA,13055010200,90767794,73016,35.046,0.028,34.5499231,-85.3082595
GA,13055010300,182425770,20878,70.435,0.008,34.5160264,-85.4538293
GA,13055010400,53835763,154305,20.786,0.06,34.4976401,-85.3864221
GA,13055010500,48686492,92159,18.798,0.036,34.4708291,-85.3314969
GA,13055010600,176249660,17545,68.05,0.007,34.3637703,-85.4160231
GA,13057090100,178183005,1514540,68.797,0.585,34.3419758,-84.3763101
GA,13057090200,219711140,2412901,84.831,0.932,34.3230794,-84.5736854
GA,13057090300,109537929,10714296,42.293,4.137,34.2140718,-84.5877807
GA,13057090400,44329938,2033548,17.116,0.785,34.2765223,-84.4623251
GA,13057090501,95981634,1109494,37.059,0.428,34.2727212,-84.330538
GA,13057090502,80227660,1141313,30.976,0.441,34.2216979,-84.3362493
GA,13057090601,21745445,265029,8.396,0.102,34.2078852,-84.4870266
GA,13057090602,36142417,281300,13.955,0.109,34.2291846,-84.443886
GA,13057090701,36387942,4024382,14.049,1.554,34.168655,-84.5413814
GA,13057090702,15859115,77537,6.123,0.03,34.1697673,-84.4970188
GA,13057090802,44231237,759169,17.078,0.293,34.1693178,-84.3827299
GA,13057090803,23952773,443835,9.248,0.171,34.1753885,-84.4432258
